,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song name
0,0.664,0.866,5,-4.937,0,0.0613,0.0041,1.16e-06,0.144,0.661,114.868,audio_features,3PeEy99v1LCmnCF1XEkPVT,spotify:track:3PeEy99v1LCmnCF1XEkPVT,https://api.spotify.com/v1/tracks/3PeEy99v1LCmnCF1XEkPVT,https://api.spotify.com/v1/audio-analysis/3PeEy99v1LCmnCF1XEkPVT,211560,4,Micheal Jackson,Mind Is The Magic - Anthem For The Las Vegas Show
1,0.8,0.903,0,-9.705,1,0.0727,0.185,0.954,0.0912,0.179,127.043,audio_features,0zLjcEHZII9RqDBJk3xMUx,spotify:track:0zLjcEHZII9RqDBJk3xMUx,https://api.spotify.com/v1/tracks/0zLjcEHZII9RqDBJk3xMUx,https://api.spotify.com/v1/audio-analysis/0zLjcEHZII9RqDBJk3xMUx,353386,4,Micheal Jackson,The Future
2,0.641,0.326,9,-10.644,0,0.0326,0.737,0.931,0.114,0.565,93.015,audio_features,7eS0wn0O3ZJ9weOZC1MgLW,spotify:track:7eS0wn0O3ZJ9weOZC1MgLW,https://api.spotify.com/v1/tracks/7eS0wn0O3ZJ9weOZC1MgLW,https://api.spotify.com/v1/audio-analysis/7eS0wn0O3ZJ9weOZC1MgLW,248356,4,Micheal Jackson,Ms. Jackson
3,0.641,0.326,9,-10.644,0,0.0326,0.737,0.931,0.114,0.565,93.015,audio_features,3hHi6CPIKNVoCAPRPeUFYr,spotify:track:3hHi6CPIKNVoCAPRPeUFYr,https://api.spotify.com/v1/tracks/3hHi6CPIKNVoCAPRPeUFYr,https://api.spotify.com/v1/audio-analysis/3hHi6CPIKNVoCAPRPeUFYr,248356,4,Micheal Jackson,Ms. Jackson
4,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,audio_features,6lanRgr6wXibZr8KgzXxBl,spotify:track:6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl,285120,3,Christina,A Thousand Years
5,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,audio_features,0HZhYMZOcUzZKSFwPOti6m,spotify:track:0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/tracks/0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/audio-analysis/0HZhYMZOcUzZKSFwPOti6m,246587,4,Christina,Jar of Hearts
6,0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,audio_features,11mwFrKvLXCbcVGNxffGyP,spotify:track:11mwFrKvLXCbcVGNxffGyP,https://api.spotify.com/v1/tracks/11mwFrKvLXCbcVGNxffGyP,https://api.spotify.com/v1/audio-analysis/11mwFrKvLXCbcVGNxffGyP,217573,4,Christina,Genie In a Bottle
7,0.756,0.808,5,-3.655,1,0.0541,0.0175,3.67e-06,0.66,0.638,109.902,audio_features,7GQqj9jRtDkMp8zByehXQI,spotify:track:7GQqj9jRtDkMp8zByehXQI,https://api.spotify.com/v1/tracks/7GQqj9jRtDkMp8zByehXQI,https://api.spotify.com/v1/audio-analysis/7GQqj9jRtDkMp8zByehXQI,264847,4,Christina,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack"
8,0.756,0.809,5,-3.655,1,0.0541,0.0173,3.69e-06,0.66,0.64,109.901,audio_features,4xfJbsFsLXW5MxlpNmiCg7,spotify:track:4xfJbsFsLXW5MxlpNmiCg7,https://api.spotify.com/v1/tracks/4xfJbsFsLXW5MxlpNmiCg7,https://api.spotify.com/v1/audio-analysis/4xfJbsFsLXW5MxlpNmiCg7,264847,4,Christina,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack"
9,0.439,0.489,8,-6.286,1,0.0368,0.132,0.000643,0.114,0.253,143.808,audio_features,1x80xTzSL7pok3M5JC3oJz,spotify:track:1x80xTzSL7pok3M5JC3oJz,https://api.spotify.com/v1/tracks/1x80xTzSL7pok3M5JC3oJz,https://api.spotify.com/v1/audio-analysis/1x80xTzSL7pok3M5JC3oJz,250707,4,Christina,human
